episode,win_rate,avg_turns,loss,epsilon,total_steps,time_elapsed
100,0.87,4.96,0.0,0.990576,496,2.7175068855285645
200,0.83,4.86,0.0,0.981342,982,5.452367782592773
300,0.86,4.93,0.0,0.971975,1475,8.180323839187622
400,0.8,4.98,0.0,0.962513,1973,10.951462984085083
500,0.86,4.87,0.0,0.95326,2460,13.667000770568848
600,0.84,4.88,0.0,0.943988,2948,16.402779817581177
700,0.84,4.9,0.0,0.934678,3438,19.151846885681152
800,0.82,5.15,0.0,0.924893,3953,22.07245969772339
900,0.82,5.04,0.0,0.915317,4457,24.87796688079834
1000,0.9,4.68,0.0,0.906425,4925,27.438426733016968
1100,0.85,4.94,0.13806660886853933,0.897039,5419,31.885252714157104
1200,0.87,4.91,0.11305553190410138,0.88771,5910,36.79297375679016
1300,0.86,4.95,0.08481199273839593,0.878305,6405,41.688156843185425
1400,0.81,4.95,0.04993667669594288,0.8689,6900,46.190767765045166
1500,0.82,5.03,0.06814466377720237,0.859343,7403,50.86910390853882
1600,0.86,5.04,0.05185199033468962,0.8497669999999999,7907,55.60235285758972
1700,0.88,4.88,0.07423232080414892,0.840495,8395,60.08840084075928
1800,0.87,4.93,0.0663812944944948,0.831128,8888,64.60970091819763
1900,0.87,4.78,0.09094391993246972,0.822046,9366,69.00335884094238
2000,0.87,4.92,0.0773541244585067,0.812698,9858,73.62363886833191
2100,0.87,4.86,0.0972182483272627,0.803464,10344,78.11872172355652
2200,0.82,5.1,0.07575045317411423,0.793774,10854,82.72985601425171
2300,0.76,5.1,0.08631294919876381,0.784084,11364,87.47005796432495
2400,0.88,4.78,0.07152868964709341,0.775002,11842,91.95473885536194
2500,0.91,4.77,0.06839921501465142,0.765939,12319,96.4196789264679
2600,0.79,4.96,0.06815249625593424,0.756515,12815,101.08255577087402
2700,0.82,5.01,0.06391110983677209,0.746996,13316,105.69615173339844
2800,0.83,4.84,0.060214895401149986,0.7378,13800,110.20816278457642
2900,0.86,4.82,0.05992034658789635,0.728642,14282,114.8560209274292
3000,0.91,4.72,0.0568612307542935,0.719674,14754,119.42832374572754
3100,0.83,4.94,0.055707995211705566,0.710288,15248,123.9635739326477
3200,0.92,4.89,0.044305664948187766,0.700997,15737,128.62414169311523
3300,0.8,5.04,0.0435057901032269,0.6914210000000001,16241,133.2798638343811
3400,0.81,5.05,0.044423136096447706,0.681826,16746,137.89049291610718
3500,0.81,4.96,0.04169655202422291,0.6724019999999999,17242,142.44783282279968
3600,0.82,4.94,0.04321987625211477,0.663016,17736,146.97508096694946
3700,0.85,5.06,0.04198094539344311,0.653402,18242,151.6520960330963
3800,0.87,4.97,0.04244790447410196,0.643959,18739,156.3285870552063
3900,0.88,4.98,0.04051851706579328,0.6344970000000001,19237,160.87186098098755
4000,0.87,4.94,0.039098254931159315,0.625111,19731,165.41151690483093
4100,0.87,4.77,0.038524287072941664,0.616048,20208,169.85203671455383
4200,0.82,4.9,0.04065488391555846,0.606738,20698,174.32498788833618
4300,0.86,4.88,0.03624708190560341,0.597466,21186,178.8030788898468
4400,0.84,4.89,0.036638386738486586,0.588175,21675,183.20965576171875
4500,0.83,5.0,0.0341798618179746,0.578675,22175,187.84466099739075
4600,0.81,4.85,0.036585426222300155,0.5694600000000001,22660,192.33336281776428
4700,0.81,5.08,0.03134961226547603,0.5598080000000001,23168,197.02573800086975
4800,0.84,4.99,0.033391218542819845,0.550327,23667,201.6377227306366
4900,0.88,4.94,0.0312220647954382,0.540941,24161,206.14904975891113
5000,0.8,5.08,0.030175340354908257,0.531289,24669,210.89790177345276
5100,0.79,4.9,0.02831889721797779,0.521979,25159,215.3833396434784
5200,0.78,5.06,0.03102419032715261,0.512365,25665,220.05553579330444
5300,0.83,4.95,0.03171583438059315,0.5029600000000001,26160,224.59823489189148
5400,0.82,5.03,0.03419577918946743,0.49340300000000004,26663,229.11102390289307
5500,0.85,5.0,0.03330574012361467,0.4839030000000001,27163,233.69555592536926
5600,0.9,5.01,0.03988777423743159,0.47438400000000003,27664,238.30251598358154
5700,0.85,4.85,0.031652207351289686,0.46516900000000005,28149,242.7999587059021
5800,0.91,4.91,0.03092681401409209,0.45584,28640,247.3052248954773
5900,0.85,4.99,0.032715505491942166,0.44635900000000006,29139,251.86705589294434
6000,0.82,5.05,0.028984965686686338,0.43676400000000004,29644,256.464017868042
6100,0.86,5.0,0.029701136224903165,0.427264,30144,261.0625548362732
6200,0.79,5.07,0.029288083277642728,0.4176310000000001,30651,265.76983094215393
6300,0.91,4.83,0.028950048913247883,0.408454,31134,270.2207889556885
6400,0.82,4.98,0.033191854949109256,0.398992,31632,274.78326988220215
6500,0.86,4.99,0.03279540469869971,0.38951100000000005,32131,279.34802198410034
6600,0.83,5.02,0.028147653443738818,0.379973,32633,283.9362688064575
6700,0.84,4.84,0.0319707273831591,0.370777,33117,288.38789892196655
6800,0.78,5.16,0.02834758664947003,0.360973,33633,293.082820892334
6900,0.85,5.05,0.026982112845871598,0.3513780000000001,34138,297.76021790504456
7000,0.83,4.88,0.02764039517380297,0.342106,34626,302.16706681251526
7100,0.79,5.0,0.026429522624239324,0.33260600000000007,35126,306.82337379455566
7200,0.83,4.85,0.025414590113796293,0.3233910000000001,35611,311.25457096099854
7300,0.84,5.08,0.026858608645852655,0.3137390000000001,36119,315.9464907646179
7400,0.83,5.04,0.02304739919025451,0.30416300000000007,36623,320.5596799850464
7500,0.83,4.87,0.025035050977021456,0.29491,37110,325.04067301750183
7600,0.84,5.02,0.024293763181194663,0.28537199999999996,37612,329.65271496772766
7700,0.78,5.07,0.02225427276454866,0.27573900000000007,38119,334.3973398208618
7800,0.81,4.86,0.022371052948292346,0.266505,38605,338.8495469093323
7900,0.82,4.91,0.026778971245512366,0.25717600000000007,39096,343.3435137271881
8000,0.85,4.95,0.022471155663952233,0.24777100000000007,39591,347.82029581069946
8100,0.85,4.9,0.02268307940568775,0.23846100000000003,40081,352.261198759079
8200,0.82,5.04,0.024344234680756926,0.228885,40585,356.93324875831604
8300,0.76,4.9,0.025265565025620162,0.21957499999999996,41075,361.4772596359253
8400,0.82,4.83,0.025472955987788738,0.21039799999999997,41558,365.8864378929138
8500,0.8,5.11,0.02515568021684885,0.20068900000000012,42069,370.51165294647217
8600,0.76,5.05,0.027831443920731544,0.1910940000000001,42574,375.16196370124817
8700,0.83,4.94,0.024094249561894685,0.18170799999999998,43068,379.64941787719727
8800,0.79,5.04,0.021195674270857126,0.17213199999999995,43572,384.2769799232483
8900,0.84,5.11,0.022781847859732807,0.16242299999999998,44083,388.9422879219055
9000,0.72,5.04,0.022635788810439407,0.15284699999999996,44587,393.63874101638794
9100,0.87,4.97,0.02176621012855321,0.1434040000000001,45084,398.06251788139343
9200,0.81,5.03,0.0211948780878447,0.13384699999999994,45587,402.6811668872833
9300,0.84,4.92,0.02238322838675231,0.12449900000000014,46079,407.2083168029785
9400,0.84,5.05,0.023639960675500334,0.11490400000000012,46584,411.7826597690582
9500,0.78,5.06,0.021406694361940027,0.10529,47090,416.3244140148163
9600,0.83,4.97,0.021693246946670117,0.09584700000000002,47587,420.86038184165955
9700,0.83,5.05,0.022408579681068658,0.086252,48092,425.51446986198425
9800,0.81,4.96,0.0218197196861729,0.07682800000000001,48588,430.0689117908478
9900,0.85,4.95,0.01951610708143562,0.06742300000000001,49083,434.55842995643616
10000,0.83,5.01,0.021121125158388168,0.057904000000000067,49584,439.13889169692993
