episode,win_rate,avg_turns,loss,epsilon,total_steps,time_elapsed
100,0.83,4.86,0.0,0.990766,486,2.6936657428741455
200,0.87,4.84,0.0,0.98157,970,5.354798793792725
300,0.87,4.93,0.0,0.972203,1463,8.033427000045776
400,0.82,5.07,0.0,0.96257,1970,10.8499116897583
500,0.89,4.98,0.0,0.953108,2468,13.616078853607178
600,0.92,4.71,0.0,0.944159,2939,16.2302348613739
700,0.91,4.77,0.0,0.935096,3416,18.84910011291504
800,0.85,4.94,0.0,0.92571,3910,21.566025972366333
900,0.78,5.0,0.0,0.91621,4410,24.41981601715088
1000,0.85,4.97,0.0,0.906767,4907,27.23265266418457
1100,0.9,4.81,0.17921517328503206,0.897628,5388,31.88886785507202
1200,0.83,5.07,0.14769911512732506,0.887995,5895,37.416446924209595
1300,0.82,4.99,0.08985546190291643,0.878514,6394,42.85845994949341
1400,0.81,4.92,0.07747390760108828,0.869166,6886,48.16038203239441
1500,0.79,5.0,0.0716044925712049,0.859666,7386,53.45865988731384
1600,0.86,4.87,0.05600958796218038,0.850413,7873,58.671276807785034
1700,0.81,5.0,0.06330701098777354,0.840913,8373,64.19536280632019
1800,0.79,4.95,0.05743556628935039,0.831508,8868,69.58398485183716
1900,0.77,5.02,0.05693518513813615,0.82197,9370,74.9539647102356
2000,0.82,4.9,0.046021084464155135,0.8126599999999999,9860,80.22372674942017
2100,0.87,4.81,0.0598001844715327,0.803521,10341,85.52660202980042
2200,0.79,5.12,0.047351205935701725,0.793793,10853,91.09655499458313
2300,0.86,4.9,0.05130175419151783,0.784483,11343,96.28133583068848
2400,0.81,4.96,0.05427903885953128,0.775059,11839,101.653804063797
2500,0.86,4.99,0.05386480875313282,0.7655780000000001,12338,106.96339678764343
2600,0.86,4.84,0.04524107214063406,0.756382,12822,112.09322381019592
2700,0.88,4.86,0.04502111677080393,0.747148,13308,117.30383801460266
2800,0.86,4.87,0.05040867598727346,0.737895,13795,122.54786372184753
2900,0.83,5.0,0.03799228093586862,0.728395,14295,127.94772291183472
3000,0.86,4.95,0.037070221630856395,0.71899,14790,133.29155373573303
3100,0.73,5.17,0.04026183876208961,0.709167,15307,139.00651907920837
3200,0.87,5.1,0.042284904681146145,0.699477,15817,144.4557979106903
3300,0.79,5.25,0.0491761673334986,0.6895020000000001,16342,150.02478790283203
3400,0.79,4.99,0.05063743283972144,0.680021,16841,155.36935091018677
3500,0.86,4.81,0.055120948706753554,0.670882,17322,160.50773286819458
3600,0.84,4.95,0.04561337254941464,0.6614770000000001,17817,165.7923378944397
3700,0.8,4.98,0.04973775565624237,0.652015,18315,171.02853393554688
3800,0.88,4.8,0.03925420924089849,0.642895,18795,176.06499886512756
3900,0.82,4.94,0.052421545088291166,0.633509,19289,181.37650990486145
4000,0.86,4.96,0.04787449317984283,0.624085,19785,186.63086080551147
4100,0.89,4.99,0.055639215847477316,0.614604,20284,191.8763608932495
4200,0.83,4.85,0.04676126022823155,0.605389,20769,196.95455384254456
4300,0.87,4.96,0.04076341883279383,0.5959650000000001,21265,202.17107391357422
4400,0.82,4.97,0.05017280146945268,0.586522,21762,207.36219382286072
4500,0.91,4.79,0.05104623411782086,0.577421,22241,212.35247993469238
4600,0.81,5.01,0.051893705828115345,0.567902,22742,217.58551669120789
4700,0.87,4.83,0.04100135655608028,0.558725,23225,222.64128494262695
4800,0.84,4.84,0.040809289924800395,0.5495289999999999,23709,227.77665090560913
4900,0.9,4.88,0.03888758076820523,0.540257,24197,232.91205191612244
5000,0.85,4.99,0.04504390380345285,0.5307760000000001,24696,238.15712594985962
5100,0.82,4.84,0.03816127147525549,0.5215799999999999,25180,243.2172908782959
5200,0.81,5.09,0.04377484225202352,0.511909,25689,248.6584026813507
5300,0.81,4.93,0.0476107984688133,0.502542,26182,253.89606499671936
5400,0.82,4.98,0.04835378812626004,0.49307999999999996,26680,259.179260969162
5500,0.81,4.88,0.04318715203553438,0.483808,27168,264.3385488986969
5600,0.84,4.8,0.04165626618079841,0.474688,27648,269.3809196949005
5700,0.8,5.02,0.04168796569108963,0.46514999999999995,28150,274.6899631023407
5800,0.83,4.97,0.04954523032065481,0.4557070000000001,28647,279.9099199771881
5900,0.84,4.92,0.04619732226245105,0.44635900000000006,29139,285.0293707847595
6000,0.82,4.91,0.05183487539179623,0.43703000000000003,29630,290.1978750228882
6100,0.81,5.06,0.04785180602688342,0.427416,30136,295.54456973075867
6200,0.77,5.12,0.059219170920550825,0.41768800000000006,30648,300.9797089099884
6300,0.77,5.13,0.047475649928674105,0.4079410000000001,31161,306.35284090042114
6400,0.81,5.14,0.04954637140966952,0.39817499999999995,31675,311.74285793304443
6500,0.86,4.87,0.044956164667382836,0.388922,32162,316.8821918964386
6600,0.85,5.11,0.041735143437981605,0.379213,32673,322.22350907325745
6700,0.78,5.12,0.047633828041143716,0.36948499999999995,33185,327.6449930667877
6800,0.8,5.14,0.04490334995090962,0.359719,33699,332.97198486328125
6900,0.81,4.9,0.05307520574890077,0.35040899999999997,34189,338.1309030056
7000,0.84,4.95,0.052816043887287376,0.3410040000000001,34684,343.25950598716736
7100,0.8,5.02,0.046768190609291195,0.33146600000000004,35186,348.5875368118286
7200,0.8,4.95,0.054862853586673734,0.32206100000000004,35681,353.75013494491577
7300,0.84,4.94,0.05904608579352498,0.31267500000000004,36175,358.8741340637207
7400,0.81,5.17,0.05137498282827437,0.302852,36692,364.387140750885
7500,0.87,5.08,0.048567620813846586,0.2932,37200,369.9173719882965
7600,0.82,5.07,0.05413544245995581,0.283567,37707,375.22337794303894
7700,0.86,5.09,0.06327507158741355,0.27389600000000003,38216,380.5278158187866
7800,0.79,4.86,0.05362205450423062,0.26466199999999995,38702,385.6559407711029
7900,0.86,4.79,0.05468734284862876,0.25556100000000004,39181,390.61457681655884
8000,0.83,4.99,0.05100932345725596,0.24607999999999997,39680,395.73435497283936
8100,0.85,4.87,0.05411471928935498,0.236827,40167,400.9006848335266
8200,0.78,5.03,0.044352162955328824,0.22726999999999997,40670,406.14120984077454
8300,0.82,5.11,0.04440914614126086,0.217561,41181,411.48138880729675
8400,0.87,4.86,0.046197215681895616,0.20832699999999993,41667,416.38336277008057
8500,0.81,5.17,0.05753227376844734,0.19850400000000012,42184,421.78080201148987
8600,0.86,5.07,0.06304043104872108,0.188871,42691,427.0085997581482
8700,0.79,5.0,0.057989250142127274,0.17937100000000006,43191,432.3629319667816
8800,0.85,4.9,0.05313239684794098,0.17006100000000002,43681,437.62512373924255
8900,0.82,4.98,0.05934890705160797,0.16059900000000005,44179,442.78417205810547
9000,0.8,5.0,0.06476988093461841,0.1510990000000001,44679,448.0133419036865
9100,0.76,5.03,0.05658396863844246,0.14154199999999995,45182,453.32074880599976
9200,0.81,4.99,0.06588479545898736,0.1320610000000001,45681,458.51958203315735
9300,0.84,4.89,0.06508184540085495,0.12277000000000005,46170,463.5165319442749
9400,0.79,4.99,0.07566697595641017,0.11328900000000008,46669,468.7370460033417
9500,0.86,4.9,0.06753810146823526,0.10397900000000004,47159,473.74590492248535
9600,0.88,4.87,0.05134109343402088,0.09472600000000009,47646,478.78819370269775
9700,0.84,4.98,0.05826712809503078,0.08526400000000012,48144,483.9222538471222
9800,0.88,5.03,0.050809686626307665,0.07570699999999997,48647,489.1457600593567
9900,0.78,4.96,0.056223513651639224,0.06628299999999998,49143,494.26252794265747
10000,0.82,4.97,0.054326771991327405,0.05684,49640,499.3885979652405
