episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.1800,-5.9460,5.86,5.451719,0.9802,57.2
200,0.3000,-3.3810,5.81,6.802175,0.9604,113.8
300,0.2100,-5.2810,5.86,5.425288,0.9406,170.3
400,0.1400,-6.7700,5.85,5.234623,0.9208,229.0
500,0.2000,-5.5760,5.81,4.716005,0.9010,287.9
600,0.2900,-3.6280,5.78,5.245195,0.8812,392.0
700,0.2100,-5.3800,5.90,5.641649,0.8614,451.3
800,0.1500,-6.6110,5.91,6.061941,0.8416,511.7
900,0.1300,-7.0470,5.92,6.071427,0.8218,573.2
1000,0.2600,-4.3030,5.78,6.039722,0.8020,631.1
1100,0.2500,-4.4440,5.84,6.735794,0.7822,738.1
1200,0.2100,-5.3400,5.85,6.632126,0.7624,795.1
1300,0.3100,-3.2000,5.70,7.016366,0.7426,851.6
1400,0.3100,-3.2740,5.69,7.375273,0.7228,908.8
1500,0.2100,-5.3740,5.79,7.305832,0.7030,967.3
1600,0.1900,-5.7220,5.82,7.036510,0.6832,1076.6
1700,0.2700,-4.0280,5.83,7.601317,0.6634,1133.5
1800,0.2800,-3.8780,5.78,8.178965,0.6436,1190.6
1900,0.3100,-3.3270,5.72,8.512177,0.6238,1247.7
2000,0.3500,-2.3820,5.62,9.006798,0.6040,1301.1
2100,0.3000,-3.4200,5.65,8.063883,0.5842,1400.1
2200,0.2400,-4.6790,5.69,8.451040,0.5644,1455.4
2300,0.2200,-5.1220,5.82,8.261045,0.5446,1510.5
2400,0.2900,-3.5980,5.78,8.403105,0.5248,1566.1
2500,0.2800,-3.9440,5.84,8.761017,0.5050,1625.6
2600,0.2200,-5.1530,5.78,8.218454,0.4852,1734.4
2700,0.3300,-2.8750,5.75,8.863495,0.4654,1791.8
2800,0.3800,-1.7350,5.60,8.555016,0.4456,1847.4
2900,0.3800,-1.7980,5.58,8.358608,0.4258,1903.3
3000,0.4000,-1.4100,5.65,9.061669,0.4060,1956.5
3100,0.3900,-1.6650,5.80,9.725700,0.3862,2053.9
3200,0.3400,-2.6390,5.74,9.887177,0.3664,2109.7
3300,0.4100,-1.1450,5.70,9.018712,0.3466,2166.3
3400,0.1900,-5.5690,5.89,9.079752,0.3268,2223.0
3500,0.3000,-3.5250,5.75,9.366472,0.3070,2280.7
3600,0.4300,-0.7300,5.60,9.729326,0.2872,2379.5
3700,0.3800,-1.7920,5.52,9.898132,0.2674,2432.6
3800,0.3700,-2.0480,5.58,9.908955,0.2476,2488.4
3900,0.4000,-1.3530,5.58,10.435499,0.2278,2541.7
4000,0.3100,-3.2130,5.73,10.315491,0.2080,2596.8
4100,0.3900,-1.5680,5.58,9.775233,0.1882,2693.7
4200,0.4600,-0.0130,5.53,10.331434,0.1684,2747.4
4300,0.3700,-1.9340,5.59,10.243495,0.1486,2802.8
4400,0.4200,-1.0210,5.61,10.757687,0.1288,2859.2
4500,0.4900,0.5070,5.53,11.406417,0.1090,2912.4
4600,0.4100,-1.1020,5.57,11.568320,0.0892,3012.1
4700,0.5000,0.7360,5.59,10.990489,0.0694,3067.5
4800,0.5900,2.6790,5.36,11.809591,0.0496,3120.4
4900,0.4600,-0.0600,5.60,11.333577,0.0298,3175.7
5000,0.4800,0.3300,5.65,11.603185,0.0100,3232.0
5100,0.4300,-0.7860,5.56,12.170832,0.0100,3334.0
5200,0.3300,-2.8200,5.65,11.538220,0.0100,3391.2
5300,0.4800,0.2370,5.63,11.235683,0.0100,3447.5
5400,0.3700,-2.0140,5.64,11.419948,0.0100,3504.6
5500,0.3800,-1.7480,5.58,11.809250,0.0100,3559.5
5600,0.4600,-0.1180,5.58,11.657345,0.0100,3662.2
5700,0.3800,-1.7890,5.64,11.592251,0.0100,3718.1
5800,0.4100,-1.1890,5.64,11.952881,0.0100,3775.6
5900,0.3800,-1.8040,5.69,11.932865,0.0100,3831.1
6000,0.2700,-3.9980,5.73,12.237991,0.0100,3888.4
6100,0.4500,-0.3460,5.56,11.842820,0.0100,3991.9
6200,0.4300,-0.7960,5.71,12.692211,0.0100,4049.2
6300,0.6000,2.7610,5.39,12.100009,0.0100,4102.6
6400,0.3900,-1.5960,5.61,11.042058,0.0100,4159.2
6500,0.4200,-1.0280,5.58,11.832674,0.0100,4216.6
6600,0.3700,-1.9800,5.60,12.346691,0.0100,4319.0
6700,0.4300,-0.6610,5.61,12.053586,0.0100,4372.3
6800,0.3100,-3.2160,5.66,11.987573,0.0100,4425.9
6900,0.4200,-0.9620,5.67,12.892248,0.0100,4479.8
7000,0.4600,-0.0370,5.52,12.863796,0.0100,4533.4
7100,0.4000,-1.3270,5.62,11.459858,0.0100,4633.3
7200,0.4900,0.5650,5.55,12.485167,0.0100,4689.2
7300,0.4500,-0.4270,5.67,12.844233,0.0100,4746.1
7400,0.4700,0.1310,5.59,12.604336,0.0100,4802.0
7500,0.3600,-2.1140,5.69,12.183448,0.0100,4858.0
7600,0.3700,-2.0030,5.63,12.251786,0.0100,4961.0
7700,0.4300,-0.7450,5.55,11.810260,0.0100,5015.2
7800,0.5100,0.8850,5.35,11.098089,0.0100,5070.2
7900,0.4700,0.1020,5.48,11.204183,0.0100,5124.2
8000,0.5800,2.4520,5.33,12.865521,0.0100,5176.2
8100,0.3900,-1.6440,5.49,11.695782,0.0100,5275.8
8200,0.4000,-1.3360,5.56,11.537667,0.0100,5331.1
8300,0.4100,-1.1350,5.50,12.413693,0.0100,5388.5
8400,0.4000,-1.4210,5.66,12.355515,0.0100,5447.3
8500,0.3600,-2.0840,5.69,12.388338,0.0100,5504.3
8600,0.3900,-1.6700,5.60,12.614022,0.0100,5609.6
8700,0.3300,-2.8000,5.70,12.060600,0.0100,5667.9
8800,0.4400,-0.4510,5.66,13.716616,0.0100,5725.3
8900,0.3900,-1.6270,5.72,12.288829,0.0100,5784.6
9000,0.3300,-2.9180,5.63,13.227219,0.0100,5843.9
